z,H_obs,sigma_H,H_LCDM,H_MAAT,pull_LCDM,pull_MAAT
0.07,69.0,19.6,69.74804403482725,69.64397324089872,0.0381655119809819,0.03285577759687331
0.09,69.0,12.0,70.46231241672814,70.32755672133038,0.12185936806067825,0.1106297267775318
0.12,68.6,26.2,71.56954364255233,71.38732259199716,0.11334136040276101,0.10638635847317433
0.17,83.0,8.0,73.50952178896418,73.24845563606975,-1.1863097763794777,-1.2189430454912813
0.179,75.0,4.0,73.87114953785292,73.59619439465364,-0.28221261553677124,-0.35095140133659086
0.199,75.0,5.0,74.68821249334377,74.38140903129901,-0.06235750133124611,-0.12371819374019707
0.2,72.9,29.6,74.72955053524676,74.4212480507118,0.06180913970428219,0.05139351522674967
0.27,77.0,14.0,77.73650360339217,77.31580218067941,0.052607400242297535,0.022557298619958033
0.28,88.8,36.6,78.18408366892076,77.7464908081478,-0.29005235877265667,-0.3020084478648142
0.352,83.0,14.0,81.53638930603952,80.98425979824785,-0.10454362099717684,-0.14398144298229656
0.3802,83.0,13.5,82.91029208036838,82.31380845940738,-0.006645031083823799,-0.05082900300686051
0.4,95.0,17.0,83.89499766732223,83.2674626724953,-0.6532354313339865,-0.6901492545591
0.4004,77.0,10.2,83.91505964564298,83.28687396201768,0.6779470240826455,0.6163601923546745
0.4247,87.1,11.2,85.14626916949814,84.47885818460817,-0.17444025272337985,-0.2340305192314128
0.4497,92.8,12.9,86.43825828540123,85.73381258671483,-0.4931582724495166,-0.5477664661461367
0.47,89.0,49.6,87.505987288849,86.77086107436286,-0.030121224015141147,-0.044942317049135976
0.4783,80.9,9.0,87.94730633370885,87.19868656499541,0.7830340370787607,0.6998540627772675
0.48,97.0,62.0,88.03803583204706,87.28631347271534,-0.14454780916053134,-0.15667236334330104
0.593,104.0,13.0,94.32098610932977,93.4085095643251,-0.7445395300515565,-0.8147300335134537
0.68,92.0,8.0,99.48326943793515,98.45662007191602,0.9354086797418937,0.8070775089895026
0.781,105.0,12.0,105.80979363337427,104.66707057835211,0.06748280278118912,-0.027744118470657497
0.875,125.0,17.0,112.00200988884365,110.77426762039488,-0.7645876535974326,-0.8368077870355952
0.88,90.0,40.0,112.33927587908336,111.10834769959169,0.558481896977084,0.5277086924897922
0.9,117.0,23.0,113.6961288461485,112.44647192420707,-0.14364657190658708,-0.19797948155621417
1.037,154.0,20.0,123.31554110956421,121.98894155588187,-1.5342229445217896,-1.6005529222059067
1.3,168.0,17.0,143.25639702924263,141.96611682564063,-1.4555060571033744,-1.531404892609375
1.363,160.0,33.6,148.2991547052946,147.06164126162375,-0.3482394432948036,-0.3850702005469122
1.43,177.0,18.0,153.76812881883487,152.60281446406967,-1.2906595100647296,-1.355399196440574
1.53,140.0,14.0,162.12743580937746,161.1247377270168,1.5805311292412472,1.5089098376440566
1.75,202.0,40.0,181.3049429569558,180.881194400539,-0.5173764260761047,-0.5279701399865253
1.965,186.5,50.4,201.02590231565182,201.6471806380466,0.2882123475327742,0.30053929837394033
