z,fsigma8_obs,sigma,fsigma8_LCDM,fsigma8_MAAT_eta002,fsigma8_best_eta
2.000000000000000042e-02,4.279999999999999916e-01,4.599999999999999922e-02,4.327051423721054446e-01,4.334178605441089682e-01,4.327051423721054446e-01
6.700000000000000400e-02,4.229999999999999871e-01,5.500000000000000028e-02,4.436591491993765457e-01,4.444218076636891057e-01,4.436591491993765457e-01
1.000000000000000056e-01,3.699999999999999956e-01,1.300000000000000044e-01,4.502735105686682671e-01,4.510713748283226576e-01,4.502735105686682671e-01
1.700000000000000122e-01,5.100000000000000089e-01,5.999999999999999778e-02,4.615274909257330860e-01,4.624002715426822618e-01,4.615274909257330860e-01
2.200000000000000011e-01,4.199999999999999845e-01,7.000000000000000666e-02,4.674183820394319233e-01,4.683447578463605931e-01,4.674183820394319233e-01
2.500000000000000000e-01,3.509999999999999787e-01,5.800000000000000294e-02,4.701627601510524612e-01,4.711212846038556057e-01,4.701627601510524612e-01
3.699999999999999956e-01,4.600000000000000200e-01,3.799999999999999906e-02,4.759319440994088102e-01,4.770185914897445145e-01,4.759319440994088102e-01
4.099999999999999756e-01,4.500000000000000111e-01,4.000000000000000083e-02,4.762450042979663456e-01,4.773740478171666912e-01,4.762450042979663456e-01
5.699999999999999512e-01,4.440000000000000058e-01,3.799999999999999906e-02,4.713376226242902978e-01,4.726332667113977148e-01,4.713376226242902978e-01
5.999999999999999778e-01,4.299999999999999933e-01,4.000000000000000083e-02,4.695364852980726811e-01,4.708626104282109259e-01,4.695364852980726811e-01
7.800000000000000266e-01,3.800000000000000044e-01,4.000000000000000083e-02,4.548027381180736461e-01,4.563035832457495999e-01,4.548027381180736461e-01
8.000000000000000444e-01,4.699999999999999734e-01,8.000000000000000167e-02,4.528522797158886504e-01,4.543714140946533697e-01,4.528522797158886504e-01
1.399999999999999911e+00,4.819999999999999840e-01,1.160000000000000059e-01,3.854533981825726263e-01,3.873167392151635191e-01,3.854533981825726263e-01
